station,location,channel,network
APAC,10,HNZ,CM
ARGC,10,HNZ,CM
ARMEC,10,HNZ,CM
BAR2,10,HNZ,CM
BET,10,HNZ,CM
BOG,10,HNZ,CM
BOG,11,HNZ,CM
BRJC,10,HNZ,CM
CAP2,10,HNZ,CM
CCALA,10,HNZ,CM
CHI,10,HNZ,CM
CLBC,10,HNZ,CM
CLEJA,10,HNZ,CM
CRU,10,HNZ,CM
CUFI,10,HNZ,CM
CUM,10,HNZ,CM
CVER,10,HNZ,CM
DBB,10,HNZ,CM
DRL01,30,HHZ,CM
DRL02,30,HHZ,CM
DRL03,30,HHZ,CM
DRL04,30,HHZ,CM
DRL04,10,HNZ,CM
DRL05,20,EHZ,CM
DRL06,20,EHZ,CM
FLO2,10,HNZ,CM
GARC,10,HNZ,CM
GRPC,10,HNZ,CM
GUA,10,HNZ,CM
GUY2C,10,HNZ,CM
IBA1C,10,HNZ,CM
JAMC,10,HNZ,CM
MACC,10,HNZ,CM
MAL,10,HNZ,CM
MAN1C,10,HNZ,CM
MEDEC,10,HNZ,CM
NIZA,10,HNZ,CM
NOR,10,HNZ,CM
OCA,10,HNZ,CM
ORTC,10,HNZ,CM
PAL,10,HNZ,CM
PAM,10,HNZ,CM
PAS1,10,HNZ,CM
PAS2,10,HNZ,CM
PDSC,10,HNZ,CM
PIZC,10,HNZ,CM
PLNC,10,HNZ,CM
POP2,10,HNZ,CM
PRV,10,HNZ,CM
PTA,10,HNZ,CM
PTB,10,HNZ,CM
PTLC,10,HNZ,CM
QUBC,10,HNZ,CM
RAC2C,10,HNZ,CM
RECRC,10,HNZ,CM
ROSC,10,HNZ,CM
SAIC,10,HNZ,CM
SJC,10,HNZ,CM
SMAR,10,HNZ,CM
SOL,10,HNZ,CM
SPBC,10,HNZ,CM
TAM,10,HNZ,CM
TUM,10,HNZ,CM
TUM3C,10,HNZ,CM
TUM3C,11,HNZ,CM
URE,10,HNZ,CM
URI,10,HNZ,CM
URMC,10,HNZ,CM
VALLC,10,HNZ,CM
VIL,10,HNZ,CM
YOT,10,HNZ,CM
YPLC,10,HNZ,CM
